Name,address,group,latitude,longitude
Apostolic Bible Church,360 Clement Rd Lansing MI,United Pentecostal Church International,42.730229,-84.600888
Asbury United Methodist Church,2200 Lake Lansing Rd Lansing MI,United Methodist,42.759675,-84.520065
Bethel Baptist Church,810 Edgemont Blvd Lansing MI,American Baptist,42.743444,-84.600591
Bethlehem Lutheran Church,549 E Mount Hope Ave Lansing MI,Evangelical Lutheran in America,42.712372,-84.545414
Bethlehem Temple Church,1518 S Washington Ave Lansing MI,Pentecostal,42.716366,-84.553544
Bretton Woods Covenant Church,925 Bretton Rd Lansing MI,Evangelical Covenant,42.744315,-84.615679
Calvary Assembly of God,3006 W Jolly Rd Lansing MI,Assemblies of God,42.683644,-84.591383
Calvary Baptist Church,14769 Wood Rd Lansing MI,General Association of Regular Baptist,42.802367,-84.521511
Calvary Christian Fellowship of Lansing,5324 Millett Hwy Lansing MI,Calvary Chapel,42.697788,-84.625984
Calvary Lutheran Church,6301 W St Joe Hwy Lansing MI,Evangelical Lutheran in America,42.725812,-84.640988
Capitol City Church Of God,6228 Bishop Rd Lansing MI,Church of God (Pentecostal),42.663356,-84.593157
Central Lansing United Methodist Church,215 N Capitol Ave Lansing MI,United Methodist,42.73478,-84.55399
Christ Community Church,227 N Capitol Ave Lansing MI,American Baptist,42.73478,-84.55399
Christ Lutheran Church,122 S Pennsylvania Ave Lansing MI,Lutheran Church of Missouri Synod,42.732848,-84.538676
Christ Temple Church,1033 Lenore Ave Lansing MI,Non-Denominational,42.710958,-84.566586
Christ United Methodist Church,517 W Jolly Rd Lansing MI,United Methodist,42.682472,-84.560142
Church Of Christ At Holmes Road,321 E Holmes Rd Lansing MI,Church of Christ,42.69788,-84.549834
Church Of God In Michigan,4212 Alpha St Lansing MI,Church of God,42.690361,-84.53709
Church of the Resurrection,1601 E Grand River Ave Ste A Lansing MI,Roman Catholic,42.7445,-84.52872
Colonial Village Baptist Church,2010 Boston Blvd Lansing MI,Baptist,42.710694,-84.577517
Cristo Rey Church,201 W Miller Rd Lansing MI,Non-Denominational,42.668761,-84.55547
Cristo Rey Parish,6121 Rosedale Rd Lansing MI,Roman Catholic,42.668525,-84.554303
Delta Mills,6809 Delta River Dr Lansing MI,United Methodist,42.764637,-84.648073
Delta Presbyterian Church,6100 W Michigan Ave Lansing MI,Presbyterian,42.735039,-84.636866
Discover Life Church,711 Kendon Dr. Lansing MI,Southern Baptist Convention,42.686347,-84.542237
Eliezer Temple Church,3637 W Jolly Rd Lansing MI,Non-Denominational,42.682127,-84.601208
Emanuel First Lutheran Church,1001 N Capitol Ave Lansing MI,Wisconsin Evangelical Lutheran Synod,42.745273,-84.554563
Evangelical Lutheran Church,801 S Waverly Rd 201 Lansing MI,Lutheran,42.725306,-84.60204
Faith Fellowship Baptist Church,1001 Dakin St Lansing MI,Southern Baptist Convention,42.723816,-84.530503
Faith United Methodist Church,4301 S Waverly Rd Lansing MI,United Methodist,42.69009,-84.6021
Fellowship For Today,1400 Turner St Lansing MI,Non-Denominational,42.749767,-84.54918
First Christian Church,1001 Chester Rd Lansing MI,Disciples of Christ,42.74441,-84.51138
First Presbyterian Church,510 W Ottawa St Lansing MI,Presbyterian,42.735113,-84.559279
Galilee Baptist Church,2511 Reo Rd Lansing MI,Baptist,42.68661,-84.58638
Good Shepherd Lutheran Church,7000 W Saginaw Hwy Lansing MI,Lutheran Church of Missouri Synod,42.742083,-84.652841
Grace Lutheran Church,528 N Mlk Blvd Lansing MI,Evangelical Lutheran in America,42.739593,-84.566892
Greater Love Apostolic Temple,505 Seymour Ave Lansing MI,Apostolic,42.738949,-84.555934
Hmong Alliance Church,525 Samantha Ave Lansing MI,Christian and Missionary Alliance,42.688632,-84.546825
Holy Trinity Church,1701 E Saginaw St Lansing MI,Greek Orthodox,42.741485,-84.5252
Immanuel Baptist Church,4303 S Mlk Blvd Lansing MI,Southern Baptist Convention,42.689895,-84.56671
Judson Memorial Baptist Church,530 Vernon Ave Lansing MI,American Baptist,42.696197,-84.546898
Lansing Bethel SDA Church,1120 N Pennsylvania Ave Lansing MI,Seventh Day Adventist,42.746189,-84.537425
Lansing Cedarway Free Methodist Church,4515 S Cedar St Lansing MI,Free Methodist Church of North America,42.688036,-84.547275
Lansing Central Free Methodist Church,828 N Washington Ave Lansing MI,Free Methodist Church of North America,42.743167,-84.551541
Lansing Central Nazarene Church,1300 Eureka St Lansing MI,Nazarene,42.732098,-84.532644
Lansing Church Of God In Christ,5304 Wise Rd Lansing MI,Church of God in Christ,42.679146,-84.593415
Lansing First Church-nazarene,310 Elmwood Rd Lansing MI,Nazarene,42.735886,-84.620418
Lansing Kendon Drive,711 Kendon Dr Lansing MI,Nazarene,42.686347,-84.542237
Lansing Waverly Nazarene Church,5701 S Waverly Rd Lansing MI,Nazarene,42.674127,-84.601763
Liberty Christian Church,2215 E Michigan Ave Lansing MI,Other Christian,42.733943,-84.519122
Life Christian Church,2560 Eaton Rapids Rd Lansing MI,United Pentecostal Church International,42.655851,-84.597871
Little Rock Baptist Church,433 S Magnolia Ave Lansing MI,Baptist,42.72883,-84.519708
Liturgical Commission Publishings,1500 E Saginaw St 1 Lansing MI,Roman Catholic,42.7408,-84.5305
Living Hope Vineyard Church,2452 Cedar St Holt MI,Vineyard,42.653317,-84.529973
Maple Grove Baptist Church,5907 S Mlk Blvd Lansing MI,Baptist,42.67302,-84.57852
Maranatha Baptist Church,2300 N Waverly Rd Lansing MI,Baptist,42.75831,-84.60271
Maranatha Spanish Assembly of God Church,927 E North St Lansing MI,Assemblies of God,42.752056,-84.539294
Mayflower Congregational Church,2901 W Mount Hope Ave. Lansing MI,National Association of Congregational,42.71202,-84.58939
Millett Bible Baptist Church,5324 Millett Hwy Lansing MI,Baptist Bible Fellowship International,42.697788,-84.625984
Mount Hope Church,116 S Rosemary St Lansing MI,Assemblies of God,42.733333,-84.587884
Mount Hope Presbyterian Church,301 W Jolly Rd Lansing MI,Presbyterian,42.6823,-84.556319
Mount Hope United Methodist Church,501 E Mount Hope Ave Lansing MI,United Methodist,42.712496,-84.546931
New Covenant Christian Church,4415 W St Joe Hwy Lansing MI,Other Christian,42.726036,-84.611991
New Home Missionary Baptist Church,3133 Pleasant Grove Rd Lansing MI,Baptist,42.699999,-84.58176
New Hope Church Of God,6025 S Waverly Rd Lansing MI,Church of God,42.670643,-84.601912
New Jerusalem Church,3000 W Miller Rd Lansing MI,Non-Denominational,42.669772,-84.590659
New Saint Paul Church Of God,1717 E Cavanaugh Rd Lansing MI,Church of God,42.690753,-84.527528
Olivet Baptist Church,5455 W Willoughby Rd Lansing MI,American Baptist,42.654379,-84.56134
Original Church Of God,1916 Olds Ave Lansing MI,Church of God,42.72358,-84.577779
Our Savior Lutheran Church,7910 E St Joe Hwy Lansing MI,Lutheran Church of Missouri Synod,42.725159,-84.684251
Parker Memorial Baptist Church,1902 E Cavanaugh Rd Lansing MI,Baptist Bible Fellowship International,42.689293,-84.525056
Pennsylvania Avenue Church Of God,3500 S Pennsylvania Ave Lansing MI,Church of God,42.696295,-84.538673
Pennway Church of God,1101 E Cavanaugh Rd Lansing MI,Church of God,42.690782,-84.536181
Pilgrim Congregational Church,125 S Pennsylvania Ave Lansing MI,Congregational,42.732599,-84.537113
Pilgrim Rest Baptist Church,5200 Pleasant Grove Rd Lansing MI,Baptist,42.680882,-84.583647
Plymouth Congregational Church,2001 E Grand River Ave Lansing MI,National Association of Congregational,42.744007,-84.522099
Reachout Christian Center,5628 Wise Rd Lansing MI,Non-Denominational,42.674257,-84.596129
Redeemer Lutheran Church,2727 W Holmes Rd Lansing MI,Evangelical Lutheran in America,42.697144,-84.588464
Retrouvaille of Lansing,4007 Wildwood Ave Lansing MI,Roman Catholic,42.692191,-84.544944
Robinson Memorial Church Of God,509 Charles St Lansing MI,Church of God,42.728327,-84.513445
Saint Joseph Melkite Greek Church,725 W Mount Hope Ave Lansing MI,Orthodox,42.711724,-84.562821
Shepherd Of The Hills Lutheran Church,7740 W St Joe Hwy Lansing MI,Wisconsin Evangelical Lutheran Synod,42.727375,-84.66498
Shiloah Baptist Church,5225 S Waverly Rd Lansing MI,Baptist,42.681325,-84.60178
South Church,5250 Cornerstone Dr Lansing MI,Non-Denominational,42.718204,-84.625015
